四时运灰琯 一夕变冬春 送寒余雪尽 迎岁早梅新
合欢能解恚 萱草信忘忧 尽向庭前种 萋萋特地愁
玉锸朝扶鬓 金梯晚下台 春衫将别泪 一夜两难裁
酒旗菰叶外 楼影浪花中 醉帆张数幅 唯待鲤鱼风
巫峡七百里 巫山十二重 年年自云雨 环佩竟谁逢
渐入新丰路 衰红映小桥 浑如七年病 初得一丸销
妾住东湖下 郎居南浦边 闲临烟水望 认得采菱船
渡口和帆落 城边带角收 如何茂陵客 江上倚危楼
桂冷微停素 峰干不遍岚 何谿背林处 犹覆定僧庵
古态日渐薄 新妆心更劳 城中皆一尺 非妾髻鬟高
大堤春日暮 骢马解镂衢 请君留上客 容妾荐雕胡
北雁行行直 东流澹澹春 当时六朝客 还道帝乡人
天问复招魂 无因彻帝阍 岂知千丽句 不敌一谗言
后代称欢伯 前贤号圣人 且须谋日富 不要道家贫
闻说融峰下 灵香似反魂 春来正堪采 试为劚云根
淮上能无雨 回头总是情 蒲帆浑未织 争得一欢成
双眉初出茧 两鬓正藏鸦 自有王昌在 何劳近宋家
相对莫辞贫 蓬蒿任塞门 无情是金玉 不报主人恩
雨冷唯添暑 烟初不著春 数枝花颣小 愁杀扈芳人
闲吟鲍照赋 更起屈平愁 莫引西风动 红衣不耐秋
怨莺新语涩 双蝶斗飞高 作个名春恨 浮生百倍劳
长短裁浮筠 参差作飞凤 高楼微月夜 吹出江南弄
裁得尺锦书 欲寄东飞凫 胫短翅亦短 雌雄恋菰蒲
春风等君意 亦解欺桃李 写得去时真 归来不相似
孤光照还没 转益伤离别 妾若是嫦娥 长圆不教缺
前回边使至 闻道交河战 坐想鼓鞞声 寸心攒百箭
嫁得金吾子 常闻轻薄名 君心如不重 妾腰徒自轻
山连翠羽屏 草接烟华席 望尽南飞燕 佳人断消息
兰眼抬路斜 莺唇映花老 金龙倾漏尽 玉井敲冰早
凉汉清泬寥 衰林怨风雨 愁听络纬唱 似与羁魂语
南云走冷圭 北籁号空木 年年任霜霰 不减筼筜绿
静烟临碧树 残雪背晴楼 冷天侵极戍 寒月对行舟
琼英轻明生 石脉滴沥碧 玄铅仙偏怜 白帻客亦惜
溪空唯容云 木密不陨雨 迎渔隐映间 安问讴雅橹
婴网虽皆困 搴笼喜共归 无心期尔报 相见莫惊飞
闲吟秋景外 万事觉悠悠 此夜若无月 一年虚过秋
水榭花繁处 春晴日午前 鸟窥临槛镜 马过隔墙鞭
几处白烟断 一川红树时 坏桥侵辙水 残照背村碑
伏溜侵阶润 繁花隔竹香 娇莺方晓听 无事过南塘
绿树连村暗 黄花出陌稀 远陂春草绿 犹有水禽飞
孤枕闻莺起 幽怀独悄然 地融春力润 花泛晓光鲜
白日新年好 青春上国多 街平双阙近 尘起五云和
永夜疑无日 危时只赖山 旷怀休戚外 孤迹是非间
形胜今虽在 荒凉恨不穷 虎狼秦国破 狐兔汉陵空
秋江共僧渡 乡泪滴船回 一夜吴船梦 家书立马开
帝业山河固 离宫宴幸频 岂知驱战马 只是太平人
终南最佳处 禅诵出青霄 群木澄幽寂 疏烟泛泬寥
兵待皇威振 人随国步安 万方休望幸 封岳始鸣銮
景物皆难驻 伤春复怨秋 旋书红叶落 拟画碧云收
离乱身偶在 窜迹任浮沉 虎暴荒居迥 萤孤黑夜深
梅雨和乡泪 终年共酒衣 殷勤华表鹤 羡尔亦曾归
幽径入桑麻 坞西逢一家 编篱薪带茧 补屋草和花
借住郊园久 仍逢夏景新 绿苔行屐稳 黄鸟傍窗频
菊开犹阻雨 蝶意切于人 亦应知暮节 不比惜残春
一叶随西风 君行亦向东 知妾飞书意 无劳待早鸿
灯影看须黑 墙阴惜草青 岁阑悲物我 同是冒霜萤
且喜安能保 那堪病更忧 可怜藜杖者 真个种瓜侯
得地牡丹盛 晓添龙麝香 主人犹自惜 锦幕护春霜
羽书传栈道 风火隔乡关 病眼那堪泣 伤心不到间
可是武陵溪 春芳著路迷 花明催曙早 云腻惹空低
宝马跋尘光 双驰照路旁 喧传报戚里 明日幸长杨
虏黠虽多变 兵骄即易乘 犹须劳斥候 勿遣大河冰
甲子今重数 生涯只自怜 殷勤元日日 欹午又明年
种花满西园 花发青楼道 花下一禾生 去之为恶草
良人昨日去 明月又不圆 别时各有泪 零落青楼前
众鸟各归枝 乌乌尔不栖 还应知妾恨 故向绿窗啼
念远心如烧 不觉中夜起 桃花带露泛 立在月明里
欲别牵郎衣 问郎游何处 不恨归日迟 莫向临邛去
此地无驻马 夜中犹走轮 所以路傍草 少于衣上尘
萱草生堂阶 游子行天涯 慈亲倚门望 不见萱草花
拥棹思悠悠 更深泛积流 唯将一星火 何处宿芦洲
东风日边起 草木一时春 自笑中华路 年年送远人
先贤忧民诈 观迹成纲纪 自有书契来 争及结绳理
良工指君疑 真玉却非玉 寄言怀宝人 不须伤手足
自君之出矣 鸾镜空尘生 思君如明月 明月逐君行
妾命何太薄 不及宫中水 时时对天颜 声声入君耳
君子慎所履 小人多所疑 尼甫至圣贤 犹为匡所縻
别路垂杨柳 秋风凄管弦 青楼君去后 明月为谁圆
愁将万里身 来伴看花人 何事独惆怅 故园还又春
尽道丰年瑞 丰年事若何 长安有贫者 为瑞不宜多
艰难别离久 中外往还深 已改当时发 空余旧日心
累年无的信 每夜望边城 袖掩千行泪 书封一尺金
自到西川住 惟君别有情 常逢对门远 又隔一重城
姓氏司空贵 官班御史卑 老夫如且在 不用叹屯奇
浊河从北下 清洛向东流 清浊皆如此 何人不白头
叠浪与云急 翠兰和意香 风流化为雨 日暮下巫阳
金阁倚云开 朱轩犯雪来 三冬辛苦样 天意似难栽
一醉六十日 一裘三十年 年华经几日 日日掉征鞭
平野有千里 居人无一家 甲兵年正少 日久戍天涯
天地太萧索 山川何渺茫 不堪星斗柄 犹把岁寒量
三年离水石 一旦隐樵渔 为问青云上 何人识卷舒
野水千年在 闲花一夕空 近来浮世狭 何似钓船中
风雨去愁晚 关河归思凉 西游无紫气 一夕九回肠
紫府归期断 芳洲别思迢 黄金作人世 只被岁寒消
托根蟠泰华 倚干蚀莓苔 谁云山泽间 而无梁栋材
玉人下瑶台 香风动轻素 画角弄江城 鸣珰月中堕
金谷风露凉 绿珠醉初醒 珠帐夜不收 月明堕清影
随梦入池塘 无心在金谷 青风自年年 吹遍天涯绿
相聚即为邻 烟火自成簇 约伴过前溪 撑破蘼芜绿
小院无人夜 烟斜月转明 清宵易惆怅 不必有离情
霁景明如练 繁英杏正芳 姮娥应有语 悔共雪争光
认得前家令 宫人泪满裾 不知梁佐命 全是沈尚书
我爱窦高士 弃官仍在家 为嫌句漏令 兼不要丹砂
受降城必破 回落陇头移 蕃道北海北 谋生今始知
禾黍不阳艳 竞栽桃李春 翻令力耕者 半作卖花人
湘水似伊水 湘人非故人 登临独无语 风柳自摇春
晓陌携笼去 桑林路隔淮 何如斗百草 赌取凤凰钗
落第春相困 无心惜落花 荆山归不得 归得亦无家
松格一何高 何人号乳毛 霜天寓直夜 愧尔伴闲曹
贤人骨已销 墓树几荣凋 正直魂如在 斋心愿一招
乱前看不足 乱后眼偏明 却得蓬蒿力 遮藏见太平
唐昌树已荒 天意眷文昌 晓入微风起 春时雪满墙
暴乱免遗折 森罗贤达名 末郎何所取 叨继外门荣
八韵与五字 俱为时所先 幽魂应自慰 李白墓相连
细雨湿萋萋 人稀江日西 春愁肠已断 不在子规啼
烟外桡声远 天涯幽梦回 争知江上客 不是故乡来
残阳楚水畔 独吊舜时人 不及庙前草 至今江上春
登高迎送远 春恨并依依 不得沧洲信 空看白鹤归
桥下浅深水 竹间红白花 酒仙同避世 何用厌长沙
江海扁舟客 云山一衲僧 相逢两无语 若个是南能
虽可忘忧矣 其如作病何 淋漓满襟袖 更发楚狂歌
细雨桃花水 轻鸥逆浪飞 风头阻归棹 坐睡倚蓑衣
云物阴寂历 竹木寒青苍 水冷鹭鸶立 烟月愁昏黄
晚日催弦管 春风入绮罗 杏花如有意 偏落舞衫多
泪滴珠难尽 容殊玉易销 傥随明月去 莫道梦魂遥
抬镜仍嫌重 更衣又怕寒 宵分未归帐 半睡待郎看
去是黄昏后 归当胧腮时 衩衣吟宿醉 风露动相思
楼上澹山横 楼前沟水清 怜山又怜水 两处总牵情
溪边花满枝 百鸟带香飞 下有一白鹭 日斜翘石矶
染亦不可成 画亦不可得 苌弘未死时 应无此颜色
目极家山远 身拘禁苑深 烟霄惭暮齿 麋鹿愧初心
秋雨空山夜 非君不此来 高于剡溪雪 一棹到门回
隐隐隔千里 巍巍知几重 平时未能去 梦断一声钟
终日冲奔浪 何年坠乱风 谢公堪入咏 目极在云中
万卉春风度 繁花夏景长 馆娃人尽醉 西子始新妆
大海波涛浅 小人方寸深 海枯终见底 人死不知心
朝喜花艳春 暮悲花委尘 不悲花落早 悲妾似花身
五里复五里 去时无住时 日将家渐远 犹恨马行迟
茅屋深湾里 钓船横竹门 经营衣食外 犹得弄儿孙
亢阳今已久 嘉雨自云倾 一点不斜去 极多时下成
闻莺才觉晓 闭户已知晴 一带窗间月 斜穿枕上生
乱世时偏促 阴天日易昏 无言搔白首 憔悴倚东门
养尔逢多难 常忧学已迟 辟疆为上相 何必待从师
莫恨红裙破 休嫌白屋低 请看京与洛 谁在旧香闺
梦觉笙歌散 空堂寂寞秋 更闻城角弄 烟雨不胜愁
井邑斜连北 蓬瀛直倚东 秋高岩溜白 日上海波红
对酒何曾醉 寻僧未觉闲 无人不惆怅 终日见南山
一片寒塘水 寻常立鹭鸶 主人贫爱客 沽酒往吟诗
碧嶂猿啼夜 新秋雨霁天 谁人爱明月 露坐洞庭船
泽国多芳草 年年长自春 应从屈平后 更苦不归人
北阙新王业 东城入羽书 秋风满林起 谁道有鲈鱼
惜别远相送 却成惆怅多 独归回首处 争那暮山何
寻僧已寂寞 林下锁山房 松竹虽无语 牵衣借晚凉
雨足高田白 披蓑半夜耕 人牛力俱尽 东方殊未明
月上随人意 人闲月更清 朱楼高百尺 不见到天明
槿花不见夕 一日一回新 东风吹桃李 须到明年春
宰嚭亡吴国 西施陷恶名 浣纱春水急 似有不平声
故里琴樽侣 相逢近腊梅 江村买一醉 破泪却成咍
牧竖持蓑笠 逢人气傲然 卧牛吹短笛 耕却傍溪田
欲羡农家子 秋新看刈禾 苏秦无负郭 六印又如何
江心秋月白 起柁信潮行 蛟龙化为人 半夜吹笛声
蛙声近过社 农事忽已忙 邻妇饷田归 不见百花芳
日暮片帆落 江村如有情 独对沙上月 满船人睡声
白鸟波上栖 见人懒飞起 为有求鱼心 不是恋江水
三月寒食时 日色浓于酒 落尽墙头花 莺声隔原柳
独诏胡衣出 天花落殿堂 他人不敢妒 垂泪向君王
少壮经勤苦 衰年始浪游 谁怜不龟手 他处却封侯
宠极辞同辇 恩深弃后宫 自题秋扇后 不敢怨春风
十载元正酒 相欢意转深 自量麋鹿分 只合在山林
古树春风入 阳和力太迟 莫言生意尽 更引万年枝
长安牡丹开 绣毂辗晴雷 若使花长在 人应看不回
清猿啼不住 白水下来新 八月莫为客 夜长愁杀人
长门春欲尽 明月照花枝 买得相如赋 君恩不可移
圆光照一海 远客在孤舟 相忆无期见 中宵独上楼
夜泊江门外 欢声月里楼 明朝归去路 犹隔洞庭秋
满地梨花白 风吹碎月明 大家寒食夜 独贮望乡情
海燕频来去 西人独滞留 天边又相送 肠断故园秋
珠箔映高柳 美人红袖垂 忽闻半天语 不见上楼时
十二街如市 红尘咽不开 洒蹄骢马汗 没处看花来
院似禅心静 花如觉性圆 自然知了义 争肯学神仙
不独满池塘 梦中佳句香 春风有馀力 引上古城墙
当年歌舞时 不说草离离 今日歌舞尽 满园秋露垂
三庚到秋伏 偶来松槛立 热少清风多 开门放山入
三篱盖驰道 风烈一无取 时见牧牛童 嗔牛吃禾黍
出山不得意 谒帝值戈鋋 岂料为文日 翻成用武年
一朵又一朵 并开寒食时 谁家不禁火 总在此花枝
凌春帝子阁 偶眺日移西 浪势平花坞 帆阴上柳堤
一种灵苗异 天然体性虚 叶如斜界纸 心似倒抽书
人莫嫌山小 僧还爱寺灵 殿高神气力 龙活客丹青
东园宫草绿 上下飞相逐 君恩不禁春 昨夜花中宿
种荷玉盆里 不及沟中水 养雉黄金笼 见草心先喜
貌高清入骨 帝里旧临坛 出语经相似 行心佛证安
潺潺伊洛河 寂寞少恩波 銮驾久不幸 洛阳春草多
阴阴亭际间 相顾惨离颜 一片云飞去 嵯峨空魏山
莫问古宫名 古宫空有城 惟应东去水 不改旧时声
远天明月出 照此谁家楼 上有罗衣裳 凉风吹不休
南溪有仙涧 咫尺非人间 泠泠松风下 日暮空苍山
泪干红落脸 心尽白垂头 自此方知怨 从来岂信愁
无语与花别 细看枝上红 明年又相见 还恐是愁中
两京作斤卖 五溪无人采 夷夏虽有殊 气味都不改
小山压大山 大山全无力 羞见故乡人 从此投外国
青鸟衔葡萄 飞上金井栏 美人恐惊去 不敢卷帘看
早秋惊叶落 飘零似客心 翻飞未肯下 犹言惜故林
幻生还幻灭 大幻莫过身 安心自有处 求人无有人
淼淼三江水 悠悠五岭关 雁飞犹不度 人去若为还
燕山窦十郎 教子有义方 灵椿一株老 丹桂五枝芳
迎风啸未已 和雨落穀穀 千枝与万枝 不如一竿竹
欲上祝融峰 先登古石桥 凿开巇嶮处 取路到丹霄
江畔送行人 千山生暮氛 谢安团扇上 为画敬亭云
司空犹不作 那敢作司徒 幸有山翁号 如何不见呼
寒烛照清夜 笙歌隔藓墙 一从飞燕入 便不见君王
关河月未晓 行子心已急 佳人无一言 独背残灯泣
倚筇聊一望 何处是秦川 草色初晴路 鸿声欲暮天
归鸟入平野 寒云在远村 徒令睇望久 不复见王孙
渐老将谁托 劳生每自惭 何当重携手 风雨满江南
石城古岸头 一望思悠悠 几许六朝事 不禁江水流
街鼓侵人急 西倾日欲斜 黄泉无旅店 今夜宿谁家
芳草温阳客 归心浙水西 临风青桂楫 几日白蘋溪
欲唱玄云曲 知音复谁是 采掇情未来 临池画春水
恩酬期必报 岂是辄轻生 神剑冲霄去 谁为平不平
警露精神异 冲天羽翼新 千年一归日 谁识令威身
翠色晴来近 长亭路去遥 无人折烟缕 落日拂溪桥
颜色尤难近 馨香不易通 朱门金锁隔 空使怨春风
竞爱松筠翠 皆怜桃李芳 如求济世广 桑柘愿商量
征赋常登限 名山管最多 吏闲民讼少 时得访烟萝
群木方憎雪 开花长在先 流莺与舞蝶 不见许因缘
年年二月暮 散乱杂飞花 雨过微风起 狂飘千万家
一种和风至 千花未放妍 草心并柳眼 长是被恩先
阴去为膏泽 晴来媚晓空 无心亦无滞 舒卷在东风
日觉儒风薄 谁将霸道羞 乱臣无所惧 何用读春秋
散诞爱山客 凄凉怀古心 寒风天阙晚 尽日倚轩吟
松节凌霜久 蓬根逐吹频 群生各有性 桃李但争春
掩霭愚公谷 萧寥羽客家 俗人知处所 应为有桃花
岭外春过半 途中火又新 殷勤清远峡 留恋北归人
劲节生宫苑 虚心奉豫游 自然名价重 不羡渭川侯
细韵风中远 寒青雪后浓 繁阴堪避雨 效用待东封
碧草垂低岸 东风起细波 横汾从游宴 何谢到天河
昨朝才解冻 今日又开花 帝力无人识 谁知玩物华
细丽披金彩 氛氲散远馨 泛杯频奉赐 缘解制颓龄
井梧纷堕砌 寒雁远横空 雨久莓苔紫 霜浓薜荔红
旌旗赴天台 溪山晓色开 万家悲更喜 迎佛送如来
江枫自蓊郁 不竞松筠力 一叶落渔家 残阳带秋色
自从君去夜 锦幌孤兰麝 攲枕对银缸 秦筝绿窗下
暧暧村烟暮 牧童出深坞 骑牛不顾人 吹笛寻山去
昨日方髽髻 如今满颔髯 紫阁无心恋 青山有意潜
似玉来投狱 抛家去就枷 可怜两片木 夹却一枝花
叶似新蒲绿 身如乱锦缠 任君千度剥 意气自冲天
新霜染枫叶 皎月借芦花 废宅寒塘水 荒坟宿草烟
中剑斫耳缺 被箭射胛过 为将须有胆 有胆即无贾
风起即千里 风回翻问津 沈思宦游者 何啻使风人
两山斗咽喉 群石矗牙齿 行客无限愁 横吞一江水
渡溪溪水急 水溅罗衣湿 日暮犹未归 盈盈水边立
素律铄欲脆 青女妒复稀 月冷天风吹 叶叶干红飞
拂拂生残晖 层层如裂绯 天风剪成片 疑作仙人衣
巴江江水色 一带浓蓝碧 仙女瑟瑟衣 风梭晚来织
塞日穿痕断 边鸿背影飞 缥缈浮黄屋 阴沈护御衣
一朝入紫宫 万古遗芳尘 至今溪边花 不敢娇青春
海色连四明 仙舟去容易 天籍岂辄问 不是卑朝士
数点当秋霁 不知何处峰 更无声接续 空有影相随
打起黄莺儿 莫教枝上啼 啼时惊妾梦 不得到辽西
丹籍生涯浅 黄泉归路深 不及江陵树 千秋长作林
二八如同雪 三春类早花 分行向烛转 一种逐风斜
秋至皆零落 凌波独吐红 托根方得所 未肯即随风
向晚小乘游 朝来新上头 从来许长袖 未有客难留
零落多依草 芳香散著人 低檐一枝在 犹占满堂春
双燕今朝至 何时发海滨 窥檐向人语 如道故乡春
徒闻管弦切 不见舞腰回 赖有歌梁合 尘飞一半来
花寒未聚蝶 色艳已惊人 悬知陌上柳 应妒手中春
峄阳桐半死 延津剑一沈 如何宿昔内 空负百年心
画阁余寒在 新年旧燕归 梅花犹带雪 未得试春衣
荷叶罩芙蓉 圆青映嫩红 佳人南陌上 翠盖立春风
归来无所利 骨肉亦不喜 黄犬却有情 当门卧摇尾
江畔送行人 千山生暮氛 谢安团扇上 为画敬亭云
石室寒飙警 孙枝雅器裁 坐来山水操 弦断吊尘埃
系缆石城下 恣吟怀暂开 江人桡艇子 将谓莫愁来
九十九冈遥 天寒雪未消 羸童牵瘦马 不敢过危桥
驻马高溪侧 旅人千里情 雁山山下水 还作此泉声
恨苦泪不落 耿然东北心 空囊与瘦马 羁绁意应深
闽越曾为塞 将军旧置营 我歌空感慨 西北望神京
自从别銮殿 长门几度春 不知金屋里 更贮若为人
踟蹰下山妇 共申别离久 为问织缣人 何必长相守
轮如明月尽 罗似薄云穿 无由重掩笑 分在秋风前
万事皆零落 平生不可思 惟余酒中趣 不减少年时
烛与人相似 通宵遽白煎 不应须下泪 只是为人然
碧玉上官妓 出入千花林 珠被玳瑁床 感郎情意深
洛浦风流雪 阳台朝暮云 闻琴不肯听 似妒卓文君
君为河边草 逢春心剩生 妾如台上镜 得照始分明
自君之出矣 梁尘静不飞 思君如满月 夜夜减容辉
自君之出矣 宝镜为谁明 思君如陇水 常闻呜咽声
汉国山河在 秦陵草树深 暮云千里色 无处不伤心
狂风拔倒树 树倒根已露 上有数枝藤 青青犹未悟
午醉醒来晚 无人梦自惊 夕阳如有意 长傍小窗明
举意三江竭 兴心四海枯 南游李邕死 北望宋珪殂
刺举官犹屈 风谣政已成 行看换龟组 奏最谒承明
欲啭声犹涩 将飞羽未调 高风不借便 何处得迁乔
荒郊昨夜雪 羸马又须行 四顾无人迹 鸡鸣第一声
季子让社稷 又能听国风 宁知千载后 蘋藻冷祠宫
拂尘开按匣 何事独颦眉 古调俗不乐 正声君自知
魏王铜雀妓 日暮管弦清 一见西陵树 心悲舞不成
梦里君王近 宫中河汉高 秋风能再热 团扇不辞劳
迤逦清居台 连延白云外 侧聆天上语 下视飞鸟背
宝台侵汉远 金地接霞高 何必游天外 忻此契卢敖
绿叶红英遍 仙经自讨论 偶移岩畔菊 锄断白云根
托根虽异所 飘叶早相依 因风若有便 更共入云飞
青鹢苦幽独 隔江相对稀 夜寒芦叶雨 空作一声归
汾桂秋水阔 宛似到阊门 惆怅江湖思 惟将南客论
城外升山寺 城中望宛然 及登无半日 欲到已经年
去国投兹土 编茅隐旧踪 年年秋水上 独对数株松
北斗七星高 哥舒夜带刀 至今窥牧马 不敢过临洮
偶来松树下 高枕石头眠 山中无历日 寒尽不知年
羡君初拜职 嗟我独无名 且是正员尉 全胜兼试卿
石沈辽海阔 剑别楚山长 会合知无日 离心满夕阳
雨滴空阶晓 无心换夕香 井梧花落尽 一半在银床
旧宠悲秋扇 新恩寄早春 聊题一片叶 将寄接流人
一入深宫里 无由得见春 题诗花叶上 寄与接流人
流水何太急 深宫尽日闲 殷勤谢红叶 好去到人间
玉烛制袍夜 金刀呵手裁 锁寄千里客 锁心终不开
已漏风声罢 绳持也不禁 一从经落后 无复有贞心
别路云初起 离亭叶正飞 所嗟人异雁 不作一行归
我婿去重湖 临窗泣血书 殷勤凭燕翼 寄与薄情夫
路扫饥寒迹 天哀志气人 休零离别泪 携手入西秦
畴昔鸳鸯侣 朱门贺客多 如今无此事 好去莫相过
昨夜巫山中 失却阳台女 朝来香阁里 独伴楚王语
昔别容如玉 今来鬓若丝 泪痕应共见 肠断阿谁知
日月金轮动 旃檀碧树秋 塔分鸿雁翅 钟挂凤凰楼
平生偏好酒 劳尔劝吾餐 但得杯中满 时光度不难
溶溶溪口云 才向溪中吐 不复归溪中 还作溪中雨
此君临此池 枝低水相近 碧色绿波中 日日流不尽
沙头一水禽 鼓翼扬清音 只待高风便 非无云汉心
绿影竞扶疏 红姿相照灼 不学桃李花 乱向春风落
待月西厢下 迎风户半开 拂墙花影动 疑是玉人来
弃置今何道 当时且自亲 还将旧来意 怜取眼前人
金刀剪紫绒 与郎作轻履 愿化双仙凫 飞来入闺里
可惜春时节 依前独自游 无端两行泪 长只对花流
谁家少年儿 心中暗自欺 不道终不可 可即恐郎知
白露湿庭砌 皓月临前轩 此时去留恨 含思独无言
脉脉长摅气 微微不离心 叩头从此去 烦恼阿谁禁
天汉凉秋夜 澄澄一镜明 山空猿屡啸 林静鹊频惊
年年人自老 日日水东流 庭芳自摇落 永念结中肠
黄鸟翻红树 青牛卧绿苔 渚宫歌舞地 轻雾锁楼台
天汉凉秋夜 澄澄一镜明 山空猿屡啸 林静鹤频惊
红叶醉秋色 碧溪弹夜弦 佳期不可再 风雨杳如年
气余三五喘 花剩两三枝 话别一尊酒 相邀无后期
日下西塞山 南来洞庭客 晴空白鸟度 万里秋光碧
许厕高斋唱 涓泉定不如 可怜谯记室 流水满禅居
猎蕙微风远 飘弦唳一声 林梢鸣淅沥 松径夜凄清
魄依钩样小 扇逐汉机团 细影将圆质 人间几处看
露涤清音远 风吹数叶齐 声声似相接 各在一枝栖
双栖绿池上 朝暮共飞还 更忆将雏日 同心莲叶间
绿英满香砌 两两鸳鸯小 但娱春日长 不管秋风早
尺素如残雪 结为双鲤鱼 欲知心里事 看取腹中书
百尺井栏上 数株桃已红 念君辽海北 抛妾宋家东
羊皮赎去士 马革敛还尸 天下方无事 孝廉非哭时
去住俱为客 分悲损性情 共作无期别 谁能访死生
众美仍罗列 群英已古今 也知生死分 那得不伤心
苦见人间世 思归洞里天 纵令山鸟语 不废野人眠
垂涕凭回信 为语柳园人 情知独难守 又是一阳春
天台众峰外 华顶当寒空 有时半不见 崔嵬在云中
古墓石棱棱 寒云晚景凝 空悲虎溪月 不见雁门僧
西塞长云尽 南湖片月斜 漾舟人不见 卧入武陵花
一见嵩山老 吾生恨太迟 问君年几许 曾出上皇时
不住东林寺 云泉处处行 近臣那得识 禅客本无名
未到无为岸 空怜不系舟 东山白云意 岁晚尚悠悠
山僧虽不饮 酤酒引陶潜 此意无人别 多为俗士嫌
峰色秋天见 松声静夜闻 影孤长不出 行道在寒云
只将陶与谢 终日可忘情 不欲多相识 逢人懒道名
山僧不厌野 才子会须狂 何处销君兴 春风摆绿杨
汉家仪礼盛 名教出诸颜 更见尚书后 能文在子山
常爱西林寺 池中月出时 芭蕉一片叶 书取寄吾师
攲枕听寒更 寒更发还住 一夜千万声 几声到君处
山顶东西寺 江中旦暮潮 归心不可到 松路在青霄
九日山僧院 东篱菊也黄 俗人多泛酒 谁解助茶香
不意入前溪 爱溪从错落 清清鉴不足 非是深难度
我欲长生梦 无心解伤别 千里万里心 只似眼前月
欲问采灵药 如何学无生 爱鹤颇似君 且非求仙情
清浅白沙滩 绿蒲尚堪把 家住水东西 浣纱明月下
夜夜忆故人 长教山月待 今宵故人至 山月知何在
人生分已定 富贵岂妄来 不见海底泥 飞上成尘埃
西底空流水 东垣但聚云 最伤梅岭望 花雪正纷纷
不惯人间别 多应忘别时 逢山又逢水 只畏却来迟
常随山上下 忽限江南北 共是忘情人 何由肯相忆
林杪不可分 水步遥难辨 一片山翠边 依稀见村远
疏阴花不动 片景松梢度 夏日旧来长 佳游何易暮
天公何时有 谈者皆不经 谁道贤人死 今为傅说星
吾道本无我 未曾嫌世人 如今到城市 弥觉此心真
春歌已寂寂 古水自涓涓 徒误时人辈 伤心作逝川
乞我百万金 封我异姓王 不如独悟时 大笑放清狂
天女来相试 将花欲染衣 禅心竟不起 还捧旧花归
花开满树红 花落万枝空 唯馀一孕在 明日定随风
古冢密于草 新坟侵官道 城外无闲地 城中人又老
为忆南游人 移家大堤住 千帆万帆来 尽过门前去
多求待心足 未足旋倾覆 明知贪者心 求荣不求辱
路逢一老翁 两鬓白如雪 一里二里行 四回五回歇
荒岸烧未死 白云痴不动 极目无人行 浪打取鱼笼
霜月夜裴回 楼中羌笛催 晓风吹不尽 江上落残梅
夜雨山草湿 爽籁杂枯木 闲吟竺仙偈 清绝过于玉
落日碧江静 莲唱清且闲 更寻花发处 借月过前湾
昨夜楚钟鸣 飞霜下楚城 定知迁客鬓 先向鉴中生
高步南山南 高歌北山北 数载买柑橙 山资近又足
洁白虽堪爱 腥膻不那何 到头从所欲 还汝旧沧波
君到香山寺 探幽莫损神 且寻风雅主 细看乐天真
一水绕孤岛 闲门掩春草 曾无长者辙 枉此问衰老
只爱满我腹 争如满害身 到头须扑破 却散与他人
春风有何情 旦暮来林园 不问桃李主 吹落红无言
故园归未得 此日意何伤 独坐水边草 水流春日长
云鹤性孤单 争堪名利关 衔恩虽入国 辞命却归山
镜湖中有月 处士后无人 荻笋抽高节 鲈鱼跃老鳞
山上天将近 人间路渐遥 谁当云里见 知欲渡仙桥
嵯峨山上石 岁岁色长新 若使尽成宝 谁为知己人
枕有思乡泪 门无问疾人 尘埋床下履 风动架头巾
寺隔残潮去 采药过泉声 林塘秋半宿 风雨夜深来
遮莫冬冬动 须倾满满杯 金吾如借问 但道玉山颓
平昔同邑里 经年不相思 今日成远别 相对心凄其
人惊此路险 我爱山前深 犹恐佳趣尽 欲行且沉吟
故人住南郭 邀我对芳樽 欢畅日云暮 不知城市喧
美人梳洗时 满头间珠翠 岂知两片云 戴却数乡税
素面已云妖 更著花钿饰 脸横一寸波 浸破吴王国
美人梳洗时 满头间珠翠 岂知两片云 戴却数乡税
一粒红稻饭 几滴牛颔血 珊瑚枝下人 衔杯吐不歇
素面已云妖 更著花钿饰 脸横一寸波 浸破吴王国
华州回道人 来到岳阳城 别我游何处 秋空一剑横
少饮欺心酒 休贪不义财 福因慈善得 祸向巧奸来
宫门一闲入 临水凭栏立 无人知我来 朱顶鹤声急
风软景和煦 异香馥林塘 登高一长望 信美非吾乡
燕市人皆去 函关马不归 若逢山下鬼 环上系罗衣
得饮摅公酒 复登摅公舟 便得神体清 超遥旷无忧
世有无穷事 生知遂百春 问程方外路 宜是上清人
露下瑶簪湿 云生石室寒 星坛鸾鹤舞 丹灶虎龙蟠
琴弹碧玉调 药炼白朱砂 解酝顷刻酒 能开非时花
愁见唱阳春 令人离肠结 郎去未归家 柳自飘香雪
常欲栖山岛 闲眠玉洞寒 丹哥时引舞 来去跨云鸾
无事到扬州 相携上酒楼 药囊为赠别 千载更何求
清秋无所事 乘露出遥天 凭仗樵人语 相期白永年
酒尽君莫沾 壶倾我当发 城市多嚣尘 还山弄明月
君子既执迷 无由达情素 明月海山上 秋风独归去
平生才不足 立身信有余 自叹无大故 君子莫相疏
魍魉何曾见 头旋即下神 图他衫子段 诈道大王嗔
三珠并一珠 驴马没人驱 岁月甲庚午 中兴戊己土
