皎,千岩,趣,况
楚营,怯拟,力,一半
雪,不,同作,滩
天子,罢兵,谋臣,塞尘
立平,帆,不知,始终
高,曹,王,剑
脱,如飞,不,半夜
结绳,兴,休,雪夜
铁,临洮,里,阶三尺
静,班,老,影
渭水,树,朱,明月
空,太白,绿崖,只
道僻,乱起,王,知
残立,元归,草,发
安,寒,倚,中
百尺,酣,得天下,自古
下,薄笑,寺里,立
影,玉,三千,冷风
迟迟,沉,闲,莺飞
月,深,翁,逢
吹,玉,自知,云
拍拍,巡,横,指
水,雪,状,明月
消,安,无,数
千,幽愤,韩,芙蓉
争,清芬,称,卓闻
院,金,今夜,明
猩,燕,日,红作
奴,余,蜡,珊瑚
青翰,愁,醉,尽裹
欹,金,教,元
脂,浑,信,寄与
但恐,香,知何,静
阑,波,适来,细
露,丹华,青童,俨然
余,未,不知,人间
珊,华新,天,人
饱,山容,人怜,封
下,沽,校,经年
寥寥,解,醉,青州
萧萧,晏,还酒,钱
扑,细,陀寺,相
昔难,事事,水云,太湖
杨,犹,到来居上,梁
金,觞,三十日,犹
朝来,花,辽东,威
麝烟,闺,去,金
胏图,辍俗,尽光,安
飙御,博,不知,蜡
步,香养,还,蛤蜊声
亲,醉,月,鹤上
雕,脐,红茵,睡
野,花,事,酒
高,清,香,夫人
里松,提,怪来,吹
早,还,无心,横行
为炭,金钱,人间,不知
香,金,暮高,松子
泣,似幕,离心,棹边
耕日,冠手,满,无计奈
女,墨,堪,扑
酉,仙,耳根,山
百缘,金,牢唅,树睹
古,切切,万端,云泉
欢,梁,柳,一半
还,烟华贴,尽著绣,蚕
余,信,山下,书
朱阁,梧桐,未必,奈
无,是骋,知贼,犀
客,橹,轻舟,惊
月,逐,寒夜,粱
孤棹触,似,无限,名字
渺,日日,木兰,不知
杂,烟濛月,歌,惊起
下,得狎,烟波,沙边
回塘,殉,离魂,沙
故国,奠,父子,王
极,眠,山,泉
自古不得,倚,风雨,没
江湖,旧酒,不知,花
芰,瑞此,近,教
晚来,侵,池,无
花,瑶池,无,堕时
相,雁,错,心事
下,新,今日,人
冉冉,泠,月,山
半夜,天,无人种,湘
衔龟,封,文过,沈
满,才,香,江南
钱,拥,遮掩,灰
酒痕,杯,笑,日斜
阶下饥禽,方,蔬卖,金
可怜,礼,早,海门
南北,相通,满,褚
仙,餐,无,紫雪
鹤翎,方,杨,人间
谈,事,重日,留
云,群,不知,觉
碧竿,伤心,血,红
天,近罘,石,溪水
西风,只怕,病,召车
截,犹,梁,人断
重,去,争奈,占
翠,金,相,泥
下,折,解散,声
开,西成,月,透入
醉,华阳,下,人
玉,词句,白,空闻
龙,月,尽日,篁
看,上碎,金钱,花
初漉嫩,尘,方平,应
九流,声,后,诸
三,竹,高浪,教归
开,翠色,中宵,遗杯
埋宫,姬,万,妃
丝,冲破,愁,堪作
丁丁,挂,堪射,声
著愁,哀怨,香,虏尘
似势,秋雁,金门,赌取
上,珠,三十六,玉盘
清,月闲,篁,栖凤
佳色,如效,盈盈,香愁
堕霜,辘轳,浑,见
渔舟,不,寄,书
胫高褰,锡,深山,坐
野人,条,处,寒鸥
寒夜,太,上,犹
根,飘多,里,相
深,苦行心,扫雪,猎人寻
风雨,渔曲,船,笠
梦里,屐,同过,脱
成,风裁,皇亲,犹
清风,云,故态,争
恨平,蜀,黄,无人祭
丛,云艳,亡,未必
共,漱,遗,知名
游,日斜,相逢,惹
悠悠,云,丁香,春
手,剑,孤帆,思
祸胎,去心,不知,金
船,捣药,浮天,笑
临窗,钩,魂,上头
寻人,便过,犹有,风雨
情,留,首,无
晚,古,发,惊
斋,盘,无机,石
隙,辽天,寂,道
声,官,教人,亦
仙,日,发,恨
风骨,玉,借得,浅
留,鹅,秋,餐
谢,少年人,掩映,月
手关,半间,天际,犹
地声,泠,宫,云
铺,掩,树,轧闭
草,坠,秋霖,花
游,脁,上,春流
骨,封,将归,岸上
妙无双,幽,见,江
攀,犹,雪,认取
峰,鹤翎,霁,寒星
玉,坐,天子,兰
立,江鸥,见,倩
上滩,已扬,少,吹
石归,酒痕,繁,回头
尘,无,脱,年
缲病,嫁愁,病,流
棹,锡,笑,空门
决决,封,留,芽
午,道士,香,泠
仞峰,峰,蜀,滪
晚潮,桔槔,翁,春
欹,脉脉,燕,妓衣
工,成,悄,风雨
雪虬,光,王,瑶池
孙,应,终,红楼
犀角,花,近,赭袍
雪花,片,夜来,金
翠,砌,小,半袖
间,细,解,山
晓,天,买,金钱
参差,上,渐,风雨
寥寥,檐,棹,树边
口,深枝,池,十
君,无机,迹,道
园,咏荜门,月,醪何
三,山,秋,还
尚,柴车,未,携
回立,开,登,几多
蔡,韶濩出,人间,近
相亲,仿效,吴,俱
桃,怨,共,浊水
编,应助,唱,空作
云,江海,疏芦,送君
彩云,笑,金质,十
鲜,重难,东风,散
休,掩,金鸡,不知
开,满,病,召车
谢,花,醉,鹿车
知,玉京,明月,皇
皆须,漫,词,鲁
墙,人妆,唱,上
时,最要,风月,不语
流,彩,知拟,横枝
厌别,似,中兴,碑
前,乡,高,山
涧户,仍,竹,羡
人间,彻霞,买,山
伸,文字,漫折,杀人
带,幽,正,牛归
身归,顽,侯万,片
山安,龙盘,威盛,消个
战尘,春,尽作,汉
恨,绵绵,雁,惊
人,衰菊,意,昭陵
爱,月,万事,秋来
摩,夸,峰,菊
衔杯,未,闲,马嘶
闱,霁,千,今朝
有酒,奈,羲,频
证,容身,时应,笑
憔悴,帐,未展,剑别
花,寂寞,老,春惜
岁,炉,满,花
岁,爱,堪,乱
挂,茶坡,笑,迷
见,岂怜,三,花
扑,渠,深炉,何必
人,莫,频,中待
官,开,看,前来
旅舍人空,正芳,恨,扫
妆台,母,鸭,牡丹
香,浣,红艳,空
惊鸾,分,犹草,应识
拘逸,他乡,征,肠
相逢,薄宦,人间,更
已判,犹托,名利,莫
客处,楠,叶,山
不,花,垂,放开
丹,翠蜺,南望,掌
人间,人间,邻花,莫垂帘
虚,蓬壶,韶韵,拂
公,爱,喜,山
扶持,见,喜,偷生
花,浪淘沙,天,纡
故国,方,静,萤照
贫,倩,逢,金
飘,繁,场,飙
人宜,无,玉,裁
树,占,隐,犹
花落,声,无,漫系
不,自保,万,张
山,还,教,未胜
年汶,楼,今日,回头
鳞来,谁料,迟迟,不
认,成,意,傍门
醉,新,不堪病,湖
莫弃,人怜,池,承得
缀,惭,锦窠,向丘
他乡,天,知名,唱
冥得,步,路人,亦
大队,鼙,教,公题
毛衣,人怜,众鸟,眼前
前,贤,万里无云,天
诗家,品,解笑,慵语
愁,落落,黑,花
退,报国,还,鲜
小域,知,无,不破
战机,洛阳,王夷,知
暗涨,杪斜,闹,缭绕
薄薄,日,见,勒
香,出兰,巡,集仙
人形,紫团,药,审
金石,江城,老,吹
讨,故乡,汉军,残阳
无机,声,金屋,下鸣
栖云,全,系,翻畏
无,只吾师,□,□□
相逢,明月,渡,蝉
无所染,有心,公,山
卧,烟萝,若言不得,事
拍,葭,乡,上
马上,吟,不,洛阳
裁,落梅,尊前,向陇头
圆,为宅,市,澄江
树,听猿,御,潺
草,树,云,空绕
倚,云边,无,松见
琉璃堂,后尘,老,重得见
恨道,成,非,年年不至
玉,裁剪,风月,洛阳
条,玉,相,东风
舒,迟迟,物,作雨
黑白,生死体,沙劫,先
尘,雪崖,采药,深见
战后,萍,春日,把得
高下,白云,怀,未胜
素,带,下,心
残阳,雪翎,人间,渔家
风雨,天,何日,上
泉,流,未,杵六
孙,娥,还,洞门
采桑多苦,花,爱,人
剑,山,云,人间
万象竟,重,旱,奇峰
无,洗,花,是得
罢,栖,惊破,半夜
营,声,天,还
开,灰,杨,东风
澄,光,使见,人
花愁,繁,血,花笑
草乱,风动,坐闲,成
已,里,愁,见
犹,逐慢,岩,月
应,绿语,锁,似陇
东风,花,今夜,不知
洞庭三十,芰,事闲,无事
三四,迟迟,斩,龙
枝枝,香,利,棱
声,轻力,道闻,愁
艳红,香,语,池
山闻,孤馆,人语,听
王,船,犹,赠
走,人,莫笑,忙
云,朝阳帝,身安,不知
世尘,因循,言语,丹
驱愁,恨,深,尘埃
不,筑,黄土,销
校,离身,浑,指
明月,女妓,遗言,血
芙蓉,似,近,泣
沈,深,几多,迫何容易
病随,榴花独,不,著得
髭,门,自古,泪
朱,粱,不知,人
旅,明,不待,征
王势,八千兵,船渡,起兵
草,王,台,死
王,霸业,花,腰宫
开,步,残,欢败
云,城流,月,送
桂,流,落日,疑
城池,无,王,巫山十二
漠,延,骖一顾,禁十九
事,兴隆,犹,唱
坠,流,金谷,送
君,竹,不知,云
冉冉,存,时月,门
马到燕,复礼,王,草
云,秦师,珠,安
碧流长,杨,没,棹祀
龙,壑,寝处,满九疑
可涯,主,不知,玉
乱,方此,蜀,出
即墨门,营,田,齐
流,独垂,未入,叹
上,隅,蠡,无
角,送,恨,听取
安,成,四十万,元
满,凉,高,入
南风,异,卑,鵩
庙,邳,泥,卷
舆,按望,云声,樽前
下浪,疑,太,江来
今日,亦,相,解守
开,文车,朱门,鸣
相持,掩,门,岂作
隳,空歌,天,虞
入,深,泉,沉
巡,船,先,蓬莱
伐,禹,渠,宜城
帝王,旧,年年,亡
草齐,到檀,龙骨,依前
元,嫁,愁云,恨
里疆,败,死,高台
杰出,胡,节,应
秉,子,翻身,高
西风,玉箸,军,戎
岁,名不朽,行人,士心
没,草,岁,犹
马,山空,重来,树
举国贤,树边,至今,秦
天,前,傍,敌年
天山,定远,坐,玉门关
未兴,凭陵,汉,滹沱
不复,水,共,送
一别,入,玉箫,时
相,原,长星,流光落
征,一朝围,剑,奉
开,天,戈,回
春日,中,玉,游
重,一乾坤,丁,吞
不,从筑,销魂,犹
十,东风,频,人
春复,无人,中宵,许
败,全,夫,网
工争,生触,客,至今
悠悠,野花,省,困
臣,戈,不,关
溶溶,峭壁,见,龙
瑶池,琼浆,八,人间
柱,敢,茅,苡
邙,遂,美誉,与乾坤
衔杯,开,山,乡
驱兵,烟高,略,征
舆,严兵,辕门,争
尘埃,崇,龙见,送
自古,冤,五湖,沉
满天,亡,无,名垂尔
回到,已,道神,嵇生
合,诸侯,不,张
山西,隗氏,好笑,函
蜀,白帝,自古,汉家
温,渚,丈,朱衣
翟少,似寇,解闻,欲
流,龙,烟霞,白头
云,片片,虚语,秦
断路人,汉,咸阳,哭
新,相如,令百二,樽前
晋臣,山,频频,人
汉,失律,龙,将军
宗尧,秦皇何,不知,胡
烈火,虎争,剑,师
巍约,传,也知不去,烹郦食其
皇,是臣,高节,种
恃,醉醁,不觉,送
亡,花,感旧,有容
狡,李斯何,谋身,染衣
发,崩,儿戏,筹
龙,鸿沟,项,醉
恃,火,笑,满
侯景,梁,力,自舍
战机,洛阳,王夷,知
岭,一卒,辨,尉
筹,泽国,腹,倚济
下僚,门,争,腰
茫茫,蚩,祠,疑
扁舟,吹,轩,巴山芦
山御,走,谩,兹
草,榛,天子,人
版,希据,安,宫
积粟,贤才,无,遂作
齐,休,山,无
孟津,沙边,王,叱阳
乱,坐家,住,沙
汉江,根,三甥,方
匡,王雄,不思,征
君,回,执尤人,向岩
鲁,玉除,少,祀鶢
一荒,唐,尹,宫阙
天,鲜,见,齐
余,归来,忠臣,见
岱,山边,黄莺,夫人
役,流,正见,感庄
草,傍,郢,王
化身,不知,销朽,泉
开,昭回,无限,适来
晡,云,松树,虬枝
阿房,已入,灵力,崩
年年,欲遍,沙丘,鲍鱼
阎乐,空,川流不尽,至今
禹,废丘,去,使章
夺气,深,仓,山
项,悠扬,国,教
项籍,贺亡,谋臣,岂作
苍苍,余,上,犹
镆铘,加,犹疑,向军
防,韩,平天下,乡
感郦,便论,最怜,七十
四皓,岩,龙,商山
云,卢,无,将军
万,汉,攻取,灵气
昆,树,祀,龙
庐,玉管,天,闲居
汉帝,猎,杨,高
师,兵马固,昆阳,困
青滩,严陵,钓鱼台,高人
争,止,今日,德星
非长者,江头,鹦鹉,流
屈指定,虎牙,足,争
秋,流,汉,宣
欲受,才略,金陵,渡江
策马行,空流,三,寻为
苻,危,山,排难
嫁,早晚,上林,不
校,花,扫眉,总
明,扇,细脉,旧痕
见,悠悠,明月,看月
花,旧手,褒贬,太
情不,细话,乡,我垂钩
草,羁,登归,桐庐
岩,看,台,应难
书,未成翁,剑,山
岩,繁,呼尔,学
问,寒来,树,已胜
谷鸟,无,更名,去去来来
花,一声声,安道,寄曲
冥冥,未长,高节,满池
乘酒,字字,周,君心
越国,赋谢,优劣,老圃
愁,在溪,人,信
葛溪,十六声,妙,春暖许
教门,恩,离心,成
仙,翠色,寻,云山
终日,鼓声,湖边,闲居
见,草,莫怪,清
晚晴,树,不,湖边
见,千尺,人间,花
四十,成尘,师,勉强
坐,盖地,山,山
吴越,君添,堪,截断
底,先,教,蓝染
鹤,触,豪家,渔舟
心醉,一半,去,蜂
岸,时逢,贡,牧
圆月,尊,白犬,犹
桂,子,仙,枯枝
五溪,孤,猩,猩
正当,吹,流,空枝
频,芝童,一去无来日,石坛
行人,鞭日,不知,云
绡画,高低,曾行,与鸟
游多,酒,醉,唱
云,又曛,一曲,君
姑,山,石,洞庭湖
运,声,流辈,江南
花,未,在蜀,负归
扑,无,上,惹
霭霭,无,莫,乡
岸上,纵生,萋萋,相
花,把酒杯,潮水,不知
计,戍边,桑,太平年
蜀,声声,山,不寐时
山,无,神仙,茂陵
傍,桐,离别,相
香,墙,山锁,去
繁,溪免,侯家,江来
秋光,砌,乍,新染
开,力,至今,昔时
红,船上,生意,曾
见,掩,吾师,老云
稀,掌,岭头,疑
嘉陵,秋,终,棹
吹,睡,去,晓时
秋,羸,峰,明愁
漱,玄宗,影,旧宫
窗,下庭,不知,无
休,流,尽无路,抛
剩,知春,老,一醉眠
香,落天,堂,樽前
桂,阁,醉,渡江
飞泉,疑,雨,尘
烟暖,门,人间,情
生前,不,春风会,合
皇州,游,五,花愁
皇,禁,歌舞,香尘
不,口,方,人
歌舞,老,送,留
川,沿流,无,满渡
怀,强,道,人间
岁,磨,老,向闲
鹈,女衣,村,船
金,特地,出,禁
堆,花,豪,不见
轻,沈机,龙节,三蜀
尘,晋,无功业,桑
水何人,倚,花,酒
复,山,莫,客星
北望,远水,图画,醉
尘,伤神,事,活
无,昔时,国,男儿
汉惠,木,心力,六里
曳曳,乡,无心,愁
定居,此生,睡,声
柏,玉,物,香
兴亡,怨,吴,亡
休,恨,醉,愁
似琼,尘埃,物,发
舞竟,满膺,死,憔悴望
雕笼,江南,语,语得
名绕,秋光,物,门
出,日日,陈业,亩
佛屋,骨,难得,不破
频,相偎,犹,争
依依,隋朝,借,条
接,草,无,冢
长策,鬼神,沙丘,人间
横,伤神,潸然,人
草,恨,犹,沧溟
基日,见,事,西施
男儿,通,犹,立殊
如萍,人间,不,酒
随行,尘,衰老,得意
送,登眺,无,把兰
留,夫,郭,见
攀,郡,犹,泫
薄,破除,霁,养
潏潏,传,皮毛,人间
蹇南,树,不知,葛
王,忙,山上,生路
戴星,三害,可避,恐难
香,暗处,恨,不知
十,云英,嫁,俱
江南,迷津,至竟,犹
合闻,将刀,术,南
铁,瞻,朱方,十三
山,风光,采得,甜
船,才,独,满
次,曙光,时人,没
青,沟,条,乱
田,驻,桑,思量
一二三四,今日,雁,冰出
雨,绣毂,箠,苍
都九鼎,遁,死,高
层层,开元,德胜,杨
自雄,还,俱,奠
狂,梦魂,嘉声,封
台,残晖,高,留
依依,见,泉,杨妃
坐,亦酸,谭,淳
柳,水深,素,有羡鱼
挑,合,皇,项
咽迹,恩,异,魂魄
座隅,肯过,高节,人间
接药,碧琅,后,岁
言,已多端,苍苍,两度
落井,乌,不知,无
交,日,磨,衰
根盘,尘,始,风波
不复,堆,赋,作文
国春,亡,浑,人
愁,终,风流,扬州
长途酒,扑,面,开
挂,阶三尺,堪,人间
物,风,骝,不
水华亭,中,粱且,何必
天地,声调,饱,忘
淅淅,一半,怨,西北
吹,睡,去,晓时
巧画,恩,王面,落日
石险,岁,无,沈
楚亭,天地,交,时人
试期,五湖,孙,王
庙,更,西湖,供
吹,善恶,细物,等闲
墙,玉,虽急,分
次,新,开,世上
尘,里,柿,恩
拂庭,渠,魂魄,合
狡,流,无,猎归
秦,故园,寒食,晚来
遗风,缶高,文清,蒙
浑,绣簇,阳,争
春来,相看,残酒,声
凡,安,闻道,不知
方,无,云,洞庭湖
了付,休,今日,留
身,千,死,安
驱愁,恨,深,尘埃
不再,愁,深锁,树
三,贮,乌头,人间
漫漫,树,孙,寸心
散,月,无,花
偶,身,渡,天
翠,落日,手,成
泉,杨,不知,依旧
年,日日,无,乡
冷骇,山,金玉,高
朱弦,白羽,霁,树
云,啼时,残灯,犹
下泪,尽复,东风语,计
种,红,芙蓉,东风
业,祖龙,未,项
珠,眉,无益,人
不知,频,语,抛
云,满,少,花
尽本,无,草,里
瓣,条,丹,雨露
天,根,物,东风
箫管,满,留,花
芙蓉,玉,最,逐芳
久违,非,乞天,衮衣
梧,钩,玉,云十二
草,扑,玉,上
上,秋,江头,楼
沁,梦,午夜,风声
复东,驴,明月,中
清歌,瑶台,王,恐
长,襄,暮,云雨
鹤体,爽,士,稽山
相如,余,最,在茂
惹,轻盈,楚,成
三,万,冢前,泉
遗黎,周,留,巴山伴
光,年华,汉,汉苑
不,斜,无,巨
禁闱,树莹,不知,绪何
颜色,解,堪,泣
高,树山,泪眼,短亭
野,报,邛酒,病
见,难,有愁,阑
薜,山河,长陵,异日
安危,高,辨,储宫
汉,园,无,借请
军,粗,汉,高阳
仙,中途,游龙,无
玉,隔年,仙,不
冯家,水湾,天,英
万户,遗垣,建章,玉绳
恨,万事休,中何,腮愁
王,明珠,翡翠,书囊
隐,伤神,前岭,器人
半夜,湘,撩,亦数
丹旐,深知,任被,真长
麻衣,十见,今日,筹
竹映,愁,江湖,花
流,雨,鸦,愁
严陵,三,旧交,霸
提强,乘胜,知,前
惑,危机,王手,放
月,追虏及,丰,鞭
写,练,离别,梅
尘,水露,绝,恰
晚,逢,无,随鸥
游,春行,新,太守
君事,倚,占,雨露
一阵风,没,先,见
向碛,吹,云雨,照平
西,不知,中宵,月
开,看,吹,点
三,石齐,教,明
冠,书郎,魂,香
上,天台,知名,问道
尘,春枝,翠,花
花月,倒,江南,唱
孙,枝枝,满池,高
树,雨,波头,堆
雨,朝来,乱,忍
春,信,名园,香
不知,折,今日,香
淡淡,飕飕,沙,下滩
江桥,映,离人,惹
塞曲,落梅,风月,人
自知,逢,母临,也道
蔟暖,余,青青,一醉眠
茶,力,晚,人
古寺,峰,春来,牡丹
春,细雨,渔家,打头
杨,愁,数声,湘
翁,浦,新,吹
秦计,蛩,愁,嘉陵江
唯应,销,竹,堪惜
斑,轩,峨,山
看画,香,丞,老
山,其间,睡,谁道
厌九衢,秋,未必,道
阁,支郎,静,香
石,催,无,今冬
渡,方,静,山
根,珍重,游人,真松
故国,知者,恩,玄晖
孤,方,杨,不忍
雁,初听,歇,枝
辉,树烟,仙,姑
来倦,碧,处,萧萧
池台,财,雨,花
水溅,香,浣,中
乡,随风雨断,花溪,无心
新,旧垂,应,寸心
英,晏然,春,不知
漠,乱,匡,花
见,情,憀归,花
当酒,不,莫,老
人间,兀,抛,五湖
见,堆,销地力,开
文星,一时钟,三千,月
午,最闲,得穷,未必
翠,入,日,花
负明,能得,苍苍,忍
安,夜吟,客应,官
共,亭台,梁尘,葵花
别离,送,杨花雪,缭绕
蒱,坑堑,楗橛,中何
扑,举子,犹,相虐
雨,村,春风,赢得
荒坟,咨,无,花
三两枝,愁眉,醉,醉
颢,土膏,麻处,没
多虞,战罢,山,酒且
褐杖,僧心,睡觉,道场
柳色,睡,折,花
折,春,满,湿来
帘,香,放开,红
村,黄昏,还,酒痕
杏房,草色,处,合
凉,村,相,汉郎
山药,香助,骑,朱砂
远俗,悠悠,无箫,四愁
粉,声音,柘弹,樱桃
沦亡,水乡,几许,花
似,未知,老耳,君
曹,墙,竹,写
酒,英,频,情胜
不,争,东风,梦觉
赏,花,掩,日斜
条,犹笑,羡,春
储,天,争,茂陵
戍,草,远别,少
秋别,万,半江月,消得
三,花,江南,到蜀
物,共,阳台,暮雨
犹来,高下,唐衢,人间
风露,看,金,无限
辞岩,云,留,人间
三,一望,招,水东流
风流,游,柳曲,江南
朝车,处处,少,合
渡,泪痕,人间,黄昏
外,还,见,安稳
好,岁阑,为报,风雪
越鸟,门,发,梦
江北,好断,粉,寒梅
细雨,梅,无,花
披,一丛,姬长,双
依依,春日,教,慈
时见,愁,不知,一茎
沈,凉,绝,伴夜
天际,红,观,送
江,村,人唤,船
金,腰,无奈,条
愁,衰,此书,孤
坡,梢簇,归长,只应
天,重重,物,莫
发,几百,争,梯
八千,凄怆,会,其奈
通,粪壤,后,龙
孙,高趣,逃名者,流
惹,腰曲,亲,翁
羡,早,惊恐后,须
自斜,无,千村,花
醉,点,餐,恐
山色,磬,灭,十
甲子,困,乡,丝
翩醉,摘索,看雨,皮
栀,粉,下帘,架
笑,深山,下意,惊
齐,山,长空,人
晓乘凉,见,风触,下
钓翁,沈醉,花落,径
数,岚瘴,精欲出,天地
恩,云,白日,芥
玉,粉,拂,为蓼
记,先知,忙,早
经旬,开,竹,山
凄凄,泥,滋味,过街
进固,丹,转肥,香
画堂,箔,霏霏,教醉
上岸,雨,无,愁
开,皱涩,削,骑
悲霜,兆民,髯,夫人
缕缕,枯,图画,经吟
三月,天,恨,黯然
云,晡,却忆,知名
忘,污,人,不
拂雨,重幕,不知,独自
无,黄庭,万,语
羡,此日,小,肠
接,雨,谁会,似江
黑,雨声,又定,却斜
夜来雨,却怜,愁,阑
澹荡,梨,去,画眉
流云,故乡,犹,满
思致,腰莲,频频,步兵
莫,恐闲,无,争
澹,一半云,四体著人,揉
却讶,嫌夜,孤馆,弯
云峰,无,销聚,漫嚣
酒楼,江,骨,休
隔帘,竹光,堪,细雨
圆光,红托,天子,绿齿
侵蔽,成,四垂,枕函
帘,折,方,时
日日长,一雁,针线年,捣
悠悠,风流,落花,南楼
香,红委,情争,风雨
乱,草,玉,秋
泪,风吹,遥见,杨妃
动,入,桃花,流
销魂,掩,花,黄昏
蹋,久,迟迟,点
恻轻,飘雪,秋千,烟雨
树,玉,睡,自唤
鬓,春,心,傍
睡,方始,中庭,先
玉,过时,事,脂
乌,不复,风光,销魂
知,觉,把禅,才尽
动静,深,家,社归
衣裳,相宜,头,举袂
不,无力,玉,似观音
发,猩,几多,陈
解罗裙,醐索,笑,映
风流,必,云,香
缉,寻,会,山
里,天,立,上
玉,小字,死,嫁
凄,对菱,秋千,他长
风流,瑶台,至今,痛
却讶,嫌夜,孤馆,弯
犹,余,高帘,中庭
寒食,醉,老,下
欢往,亡,树,摘索
阻,自知,惆怅,发
余,角,西楼,时
掩莓,鼓笛,散,灰
花,杨花数,朱门,牡丹
渺茫,丹,十,香
霏霏,稀,散,蝶高飞
山,富春,长川不是春,其间
青崖,绿苔,满,风雨
朦月,风,空床,平生
玉树,中州,令,游
接,淡,半夜,风动
光,忙,蚕,扶桑
朝来,桑田,人间,两
红,忘,似春,特
一别,不得归,长忆,霏霏
南北,邻,犹,无心
檄傲,事,笔端,袁
亭亭,迷藏,恨,梁
花,宫,东风,教闲
安,相干,解,严光
秋,亡,冤,诉
沉,蛙声,莫怪,稚圭
脉脉,似轻,花易,伊
湖光,棹,处,从波
汉苑,雨,花,东风
知,今来,熏裛,上
鸾龙,碧流,皇心力,秋
洛阳,一半,道芳,犹
亦,屈,时节,人
尽本,深,支郎,香
覆,沉,当面,负心
日,放逐,裁,身
水远,棹,爱,泥
寒梅,他乡,树,开
为行,沙,鹄,天涯
占,晴野,风吹,爱
千,殿西,国,花
月,飒然,倚遍,堕入
散,草,君,彗星
分津,云,长江,将军
依依,违,门外,送
禁闱,病决然,问,对泉
稚圭,蛙声,君,天籁
瞰,栖,未远,鸡
见,竹垂藤锁,深处,爱流
渚入,碧滩,认得,金
石,香,近,石层
一径,玉峰,教,马忧
批,故国,今,情
刹,高,黄,始
栖,红啄,无定,花枝
累累,教词,肠,谁报
竹,玉,丹青,愁
珠宫,薄雾,觉,下厢
知,无事已,初,栖
菰,里,上涔,奠
飘,寂,若待,招
恩,短亭,危,商山
休,教,缨,沧
翘,又归,无,分
草,枝村落花,不知,山
全,宿雾,深,带
新,烟别,恨,两
流一,裁,前,未来
不,霏霏,建业城,六朝
钓,三署,流,湘
走,微躬,今夜,伴吟
春,繁,正是,不知
声,日,云,爱
满树,春融,千,人间
嫩,粉,看,分题
武威,看,心事,漠
窠,来法,祝融,□
根,犹,文字,当初
依依,幸蜀,泉,杨妃
微雨,合,终,在家
玕,清森,何人,细
新,人,寒色,共
关,山,梦,空
知命,青山,山山,正翛
方,观鱼,濠,见
树,涤烦,何人,素琴
无机,爱,尽日,秋山
理,无心,人间,河
隔林,酒,入夜,犹
致吾,山,山,移
缩,鬼谷,怀,白云流水
君阳,仙,何必,中
光,满,花,白日
天,华,病,旋
手,映,岁,送
霏霏,脉脉,百舌,春风
攒,摧残,发,冠
落落,看,矰缴,衔芦
形,倚,雪夜,照户
似,巡,手,人
我眠,玉篸,上,西南
抹,红,两,觅
夫,夫,书信,无
稻,掩扉,春,醉
蕊,无,蛱,春色
游曲,人,春,深
吹,别人,分散,僧房
波委,似盖,天,十
江寺,渔矶,时节,醉
尘,名拟,余日,君
泠然,言,西北,湘
满,汉,轻,惆怅
霁,袁,氅敝,自此
风渐,黛色,游,余
香,蜂,最,梧枝
绛浓,万,宠,山
天,碧海,虽抱,伦家
陪骥,失龙,浣,杨
县城,无口,加,成
能者,莫过,应吟,只
不,阁,稳择,巢
珠明,不,瑞,祥麟
部,采石,荒坟,君心
我来,荔萝,杀,君
无,岂知,道,浑身
地闲,随猿,落,僧
丛丛,叶声,海,不堪行
丹,筋骨,毛色,杀人
利门,岁,恐,总输
客,睡,月,身
山雨溪,瓯篷,醉,前
世人,湖边,登舟,不
翁,力,蓬蒿,王
今,闲,衲,坐
田,渠,物,一个
桑,生涯,滩,花
城,楼,未,愁
星星,自伴,官,饥
友别,余,无月,天
恨身,春,七十,人间
次,枝枝,看,开
仍奇,小小,树,生日
风雨夜,信,谁相,蝉
三,句,满,阶行
三,骨,来不住,无
雁,杨,涉山,船声
戈,烽烟,浑,笑
未立,身当,无,山
云游,随身,不,无事人
人兢慎,岁,无,沈
披,竹荫,不,凉
云峰,澄,业,钓得
筵,吴乡,同年,行人
毛,好景,深水,是鹭
野人,掩,眠,木
暮天,疏,今夜,江楼
彩,岳色,十,雨
深,才过,无,年吟
粝食,堆金,一丘,几多
天空,蜀,啼得,残
三,花,有人,巴猿
眠,弄月,听猿,三
事,日,教,争
深,觉,识,道
爱,许年,我吟,不曾
老闲,应难,钱,看
古,映,潘,新
若何,梁,不必,尔窠
丹,金,桃,无
撼,山,阙,一半
天,尚,无,年
安,尘埃,应,猎来
铁,临洮,连云色,阶三尺
千,钟,妻,驾到
尽日,大,玉,里
下涧边,香泉,浦雁,天
静,上,尽日,点
扶桑,扶桑,共,明月
岩,壶春酎,伯伦,醉
漠,那离,玉,江南
销,桂年,走,见
乱云,和风,见,斜
钓舟,文,花,秋
蒙尘,御,妃,知辜
种,精帘,武,珠
巡,相誓,留,合
阻,相,竹,江南
睡觉,遥,剑,寸
台下,似弦,云,花笑
韶九奏,高调,见,牛笛
湘魂,秦,刑,东门去
重惜,满,酩,前
主人,长春,马上,白鹭
浑,句句,明珠,虚作
礼佛,从无,思六,藏经
成,逐,君,满
真,笑,骑,肯问
谁氏,长叹,桑田,没入
落照,还,二,钓翁
葛衣,吹,好,羹
散酒,雨,满,觉
霏霏,六朝,台,十
花,酒,工,玉山
没,见,恸,何日
家,袂,江南,山月
萧萧,陈,江亭,尽日
琅,古,不知,蒙蒙
萧萧,塞垣,虏,莫过
